custom_lambda_0.0001 Coefficients
==================================================
Bias Term      : 0.007774
V1             : -0.003764
V2             : -0.005711
V3             : 0.006831
V4             : 0.001243
V7             : 0.002493
V11            : 0.003628
V12            : -0.002723
V13            : 0.004689
V15            : 0.003376
V16            : 0.009435
V17            : 0.004205
V18            : -0.002474
V19            : -0.005399
V20            : 0.003598
V21            : -0.003653
V22            : -0.005444
V23            : -0.012174
V24            : 0.006009
V25            : -0.006534
V26            : -0.004111
V27            : -0.006662
V28            : 0.008684
V29            : -0.005220
V30            : 0.006446
V31            : -0.004906
V32            : 0.010879
V33            : 0.012760
V34            : -0.007995
V35            : 0.006555
V36            : -0.005263
V37            : 0.003938
V38            : -0.005018
V39            : -0.007468
V40            : -0.004308
V41            : 0.009437
V42            : -0.002976
V43            : 0.005612
V44            : -0.006843
V45            : 0.006987
V46            : 0.008857
V47            : -0.000940
V48            : -0.013442
V49            : -0.003904
V50            : 0.000492
V51            : -0.008073
V52            : -0.006338
V53            : -0.003064
V54            : 0.006654
V55            : -0.006917
V56            : 0.018207
V57            : 0.010926
V58            : 0.006077
V59            : 0.002137
V60            : -0.001438
V61            : -0.006378
V62            : 0.010380
V63            : 0.001056
V64            : 0.008313
V65            : 0.008934
V66            : 0.003090
V67            : -0.003901
V68            : 0.000157
V69            : -0.008756
V70            : -0.003860
V71            : -0.009009
V72            : -0.004537
V73            : -0.004946
V74            : 0.002270
V75            : -0.006579
V76            : -0.005753
V77            : -0.003994
V78            : 0.004345
V79            : -0.009543
V80            : -0.006161
V81            : -0.002820
V82            : -0.004418
V83            : 0.001138
V84            : -0.007881
V85            : 0.001796
V86            : 0.002257
V87            : 0.007511
V88            : -0.006020
V89            : -0.006423
V90            : 0.003442
V91            : -0.005641
V92            : 0.005750
V93            : 0.006720
V94            : 0.004211
V95            : 0.003391
V96            : -0.005341
V97            : 0.003987
V98            : 0.007397
V99            : 0.008232
V100           : -0.003486
V101           : 0.008552
V102           : 0.005064
V103           : -0.005413
V104           : 0.002786
V105           : 0.002372
V106           : 0.004053
V107           : -0.005979
V108           : -0.002396
V109           : -0.005778
V110           : 0.007111
V111           : 0.005972
V112           : -0.003026
V113           : 0.018281
V114           : -0.009033
V115           : 0.016678
V116           : -0.006271
V117           : 0.003434
V118           : -0.005402
V119           : -0.005388
V120           : -0.007958
V121           : -0.005812
V122           : -0.009152
V123           : -0.006308
V124           : 0.003831
V125           : 0.003220
V126           : -0.009555
V127           : -0.016418
V128           : 0.004864
V129           : 0.007702
V130           : 0.002474
V131           : -0.007186
V132           : -0.009503
V133           : 0.008668
V134           : -0.006856
V135           : -0.010056
V136           : -0.008016
V137           : 0.012086
V138           : -0.013424
V139           : -0.004337
V140           : 0.012710
V141           : 0.003182
V142           : 0.004098
V143           : -0.010163
V144           : -0.003596
V145           : 0.008606
V146           : -0.005109
V147           : -0.008743
V148           : 0.004492
V149           : 0.004305
V150           : -0.011439
V151           : -0.009986
V152           : 0.014189
V153           : -0.009675
V154           : -0.009926
V155           : 0.010263
V156           : -0.008421
V157           : 0.005362
V158           : 0.003142
V159           : -0.008561
V160           : -0.002246
V161           : 0.005413
V162           : -0.006092
V163           : -0.007561
V164           : 0.000838
V165           : 0.004336
V166           : -0.013930
V167           : -0.001571
V168           : 0.013310
V169           : 0.009595
V170           : -0.006233
V171           : 0.005046
V172           : -0.000127
V173           : 0.013662
V174           : 0.000068
V175           : -0.005254
V176           : 0.004867
V177           : 0.003833
V178           : 0.004681
V179           : -0.014193
V180           : -0.006329
V181           : 0.009740
V182           : -0.014974
V183           : 0.007560
V184           : -0.000985
V185           : -0.005672
V186           : -0.003170
V187           : -0.000260
V188           : -0.010305
V189           : -0.010014
V190           : -0.002337
V191           : 0.013360
V192           : 0.003541
V193           : -0.010102
V194           : -0.009343
V195           : -0.013601
V196           : 0.013667
V197           : -0.006725
V198           : -0.007784
V199           : 0.005812
V200           : -0.007558
V201           : -0.007835
V202           : -0.018876
V203           : 0.005648
V204           : -0.010276
V205           : -0.006345
V206           : -0.010244
V207           : 0.002217
V208           : -0.007267
V209           : 0.008294
V210           : -0.009274
V211           : 0.009820
V212           : 0.004954
V213           : -0.001735
V214           : 0.005730
V215           : 0.001543
V216           : -0.004476
V217           : -0.006518
V218           : -0.009108
V219           : 0.001523
V220           : -0.006916
V221           : -0.006618
V222           : -0.005014
V223           : -0.008039
V224           : -0.006576
V225           : 0.010668
V226           : -0.025450
V227           : -0.007700
V228           : -0.011116
V229           : -0.001633
V230           : -0.007950
V231           : -0.002437
V232           : -0.008476
V233           : -0.012610
V234           : -0.006395
V235           : -0.011487
V236           : -0.007076
V237           : -0.001354
V238           : -0.002359
V239           : 0.002379
V240           : 0.004765
V241           : 0.002987
V242           : -0.006979
V243           : -0.004702
V244           : -0.009835
V245           : 0.007456
V246           : 0.004426
V247           : 0.006540
V248           : -0.012321
V249           : -0.005100
V250           : -0.011903
V251           : -0.005822
V252           : 0.003739
V253           : 0.002313
V254           : -0.014090
V255           : 0.009266
V256           : 0.001604
V257           : 0.007038
V258           : -0.010743
V259           : -0.014813
V260           : 0.003322
V261           : -0.003831
V262           : -0.006225
V263           : 0.004490
V264           : 0.003092
V265           : -0.013306
V266           : -0.009098
V267           : 0.004398
V268           : -0.001724
V269           : 0.005766
V270           : -0.012852
V271           : -0.007822
V272           : 0.002602
V273           : -0.007992
V274           : -0.002128
V275           : 0.005809
V276           : -0.002902
V277           : -0.017914
V278           : -0.001380
V279           : -0.007888
V280           : 0.009555
V281           : 0.011771
V282           : -0.008109
V283           : -0.009144
V284           : -0.003179
V285           : -0.005495
V286           : -0.002880
V287           : -0.011190
V288           : -0.011634
V289           : -0.009871
V290           : -0.008040
V291           : 0.000101
V292           : -0.008825
V293           : -0.000923
V294           : -0.006413
V295           : -0.002576
V296           : 0.000441
V297           : -0.011893
V298           : -0.019388
V299           : 0.007059
V300           : -0.007548
V301           : -0.004078
V302           : -0.007427
V303           : 0.001601
V304           : -0.013452
V305           : -0.005821
V306           : -0.007990
V307           : -0.011923
V308           : -0.005048
V309           : -0.013990
V310           : 0.001781
V311           : -0.008924
V312           : -0.008090
V313           : -0.009213
V314           : -0.005637
V315           : -0.009100
