sklearn Coefficients
==================================================
Bias Term      : 0.016498
V1             : 0.004037
V2             : 0.006853
V3             : -0.019144
V4             : -0.008134
V7             : 0.020601
V11            : 0.028181
V12            : 0.034255
V13            : -0.022514
V15            : -0.000370
V16            : -0.021028
V17            : 0.015789
V18            : -0.013373
V19            : 0.011460
V20            : 0.012696
V21            : 0.003895
V22            : -0.021626
V23            : -0.008477
V24            : -0.017583
V25            : 0.015771
V26            : 0.009139
V27            : 0.000964
V28            : 0.013908
V29            : -0.008616
V30            : -0.013173
V31            : 0.006073
V32            : 0.003463
V33            : -0.003274
V34            : 0.015388
V35            : 0.010449
V36            : -0.017604
V37            : -0.003120
V38            : -0.001891
V39            : 0.018755
V40            : -0.004998
V41            : -0.003212
V42            : 0.008498
V43            : -0.019246
V44            : 0.018741
V45            : 0.005245
V46            : -0.011141
V47            : -0.012211
V48            : 0.012592
V49            : 0.012137
V50            : -0.006118
V51            : -0.022733
V52            : 0.021668
V53            : -0.009025
V54            : -0.013067
V55            : 0.020659
V56            : -0.002938
V57            : 0.006267
V58            : -0.037673
V59            : 0.020486
V60            : -0.002495
V61            : 0.037799
V62            : -0.015228
V63            : 0.009884
V64            : 0.000541
V65            : -0.020932
V66            : 0.015617
V67            : 0.026280
V68            : -0.012493
V69            : -0.007058
V70            : -0.004264
V71            : 0.001801
V72            : 0.010752
V73            : -0.040426
V74            : -0.003699
V75            : 0.001481
V76            : -0.026754
V77            : -0.015725
V78            : -0.009343
V79            : -0.001957
V80            : -0.033306
V81            : 0.028599
V82            : -0.011707
V83            : -0.002588
V84            : -0.012647
V85            : 0.002192
V86            : -0.005146
V87            : -0.001460
V88            : -0.002732
V89            : -0.007962
V90            : 0.004419
V91            : -0.001243
V92            : -0.000732
V93            : 0.001689
V94            : -0.022525
V95            : -0.026721
V96            : 0.003258
V97            : 0.001382
V98            : -0.004500
V99            : 0.019070
V100           : 0.018797
V101           : -0.013896
V102           : -0.006409
V103           : -0.024121
V104           : 0.027685
V105           : -0.019918
V106           : -0.002928
V107           : 0.025242
V108           : -0.002014
V109           : 0.000037
V110           : -0.012442
V111           : -0.013905
V112           : 0.013155
V113           : -0.005090
V114           : 0.027055
V115           : -0.002114
V116           : -0.023151
V117           : 0.000415
V118           : -0.005008
V119           : -0.019912
V120           : -0.048455
V121           : -0.004576
V122           : -0.001835
V123           : -0.004446
V124           : 0.003188
V125           : -0.011894
V126           : -0.025028
V127           : -0.015199
V128           : -0.001631
V129           : 0.012850
V130           : 0.005064
V131           : 0.011730
V132           : 0.011379
V133           : 0.001659
V134           : -0.016778
V135           : 0.003669
V136           : 0.008883
V137           : -0.009633
V138           : 0.014792
V139           : 0.041718
V140           : 0.020405
V141           : -0.021866
V142           : 0.002395
V143           : 0.005738
V144           : 0.016808
V145           : 0.009506
V146           : -0.004948
V147           : -0.024890
V148           : -0.016624
V149           : 0.010899
V150           : -0.010868
V151           : 0.017672
V152           : -0.008562
V153           : -0.016494
V154           : 0.015044
V155           : -0.004347
V156           : 0.015578
V157           : -0.026874
V158           : -0.012029
V159           : 0.007697
V160           : -0.008168
V161           : 0.001814
V162           : -0.007927
V163           : 0.002554
V164           : 0.004406
V165           : -0.000325
V166           : -0.021122
V167           : 0.003590
V168           : 0.008123
V169           : -0.003274
V170           : -0.019976
V171           : -0.018046
V172           : 0.003894
V173           : -0.022091
V174           : -0.002739
V175           : -0.013386
V176           : -0.022312
V177           : -0.025151
V178           : -0.004790
V179           : -0.018920
V180           : 0.016019
V181           : -0.029567
V182           : -0.010032
V183           : -0.025952
V184           : -0.017319
V185           : 0.000395
V186           : -0.012645
V187           : -0.013927
V188           : -0.013786
V189           : 0.026335
V190           : 0.010343
V191           : -0.030404
V192           : -0.012069
V193           : -0.001305
V194           : -0.015742
V195           : 0.012976
V196           : -0.002062
V197           : -0.008706
V198           : -0.000965
V199           : -0.010973
V200           : -0.004035
V201           : -0.020935
V202           : -0.007961
V203           : -0.031372
V204           : -0.016375
V205           : -0.007256
V206           : -0.027455
V207           : -0.000163
V208           : 0.008550
V209           : -0.014734
V210           : -0.004493
V211           : -0.017595
V212           : -0.015264
V213           : -0.006056
V214           : 0.033169
V215           : 0.010089
V216           : -0.000710
V217           : 0.001219
V218           : 0.002736
V219           : -0.027198
V220           : 0.004334
V221           : -0.009874
V222           : 0.004964
V223           : -0.009605
V224           : -0.004096
V225           : -0.021292
V226           : -0.019243
V227           : -0.016616
V228           : 0.049897
V229           : -0.010316
V230           : 0.001953
V231           : -0.028175
V232           : -0.007922
V233           : 0.000747
V234           : -0.001027
V235           : -0.007191
V236           : -0.016197
V237           : 0.005215
V238           : -0.026268
V239           : -0.009941
V240           : -0.018134
V241           : -0.008363
V242           : 0.013397
V243           : -0.012955
V244           : 0.006150
V245           : -0.025521
V246           : 0.009335
V247           : -0.023844
V248           : -0.007765
V249           : -0.008801
V250           : 0.010911
V251           : 0.003176
V252           : -0.032757
V253           : -0.014926
V254           : 0.000609
V255           : 0.012258
V256           : 0.001820
V257           : -0.005334
V258           : -0.034420
V259           : -0.000269
V260           : 0.021330
V261           : -0.002493
V262           : -0.005575
V263           : -0.011145
V264           : -0.000911
V265           : -0.015654
V266           : 0.017026
V267           : 0.002134
V268           : 0.009421
V269           : -0.022186
V270           : -0.008426
V271           : -0.007463
V272           : 0.007420
V273           : 0.013827
V274           : -0.005116
V275           : 0.007108
V276           : 0.000188
V277           : 0.005760
V278           : -0.001793
V279           : -0.000726
V280           : 0.009127
V281           : -0.009716
V282           : -0.010877
V283           : 0.000832
V284           : -0.011273
V285           : -0.020740
V286           : 0.006242
V287           : -0.012052
V288           : -0.012919
V289           : -0.017272
V290           : -0.007541
V291           : -0.005767
V292           : 0.002380
V293           : -0.011334
V294           : -0.007018
V295           : -0.003157
V296           : -0.016702
V297           : -0.006482
V298           : -0.006824
V299           : 0.004342
V300           : 0.009114
V301           : 0.010304
V302           : 0.031403
V303           : -0.024144
V304           : -0.002277
V305           : -0.005182
V306           : -0.022167
V307           : 0.008793
V308           : -0.013653
V309           : 0.047751
V310           : 0.005539
V311           : -0.014540
V312           : -0.014267
V313           : -0.036394
V314           : 0.000867
V315           : -0.024043
V316           : 0.005951
V317           : -0.024760
V318           : 0.002641
V319           : -0.018594
V320           : 0.019952
V321           : 0.006501
V322           : -0.021323
V323           : -0.006560
V324           : -0.014142
V325           : -0.005714
V326           : -0.004286
V327           : -0.011645
V328           : -0.051854
V329           : -0.038002
V330           : -0.014112
V331           : 0.009351
V332           : 0.011451
