custom_lambda_0.0011 Coefficients
==================================================
Bias Term      : -0.005624
V1             : 0.005316
V2             : 0.004802
V3             : 0.004750
V4             : 0.005956
V5             : 0.003900
V6             : -0.000137
V7             : 0.005774
V8             : -0.001238
V9             : 0.005585
V10            : 0.005822
V11            : 0.001111
V12            : 0.005314
V13            : 0.005911
V14            : -0.002948
V15            : -0.000824
V16            : -0.001919
V17            : -0.003122
V18            : -0.001702
V19            : -0.001523
V20            : 0.005643
V21            : 0.004471
V22            : 0.004845
V23            : -0.004476
V24            : -0.005052
V25            : -0.004535
V26            : 0.005346
V27            : 0.005632
V28            : 0.000331
V29            : 0.001820
V30            : 0.005857
V31            : -0.004475
V32            : 0.005754
V33            : 0.002165
V34            : 0.005613
V36            : 0.006101
V38            : 0.006056
V39            : 0.003134
V40            : 0.006175
V41            : 0.006189
V42            : 0.004791
V43            : 0.005899
V45            : 0.005021
V46            : 0.005709
V47            : 0.005810
V48            : 0.005316
V49            : -0.002472
V50            : 0.005621
V51            : 0.006028
V52            : 0.005749
V55            : -0.004864
V56            : 0.005856
V57            : -0.004654
V58            : 0.005977
V59            : -0.001653
V60            : 0.006031
V61            : 0.001764
V62            : 0.004483
V63            : 0.000323
V64            : 0.004837
V65            : 0.001325
V67            : 0.006021
V68            : 0.005405
V69            : 0.000009
V70            : 0.006455
V71            : -0.003666
V72            : 0.006302
V73            : -0.001298
V74            : -0.004371
V75            : 0.000775
V76            : 0.003987
V77            : 0.005245
V78            : 0.005136
V79            : 0.002237
V80            : -0.005853
V82            : -0.001886
V83            : 0.005857
V84            : 0.006199
V85            : 0.005779
V86            : 0.006066
V87            : -0.002499
V88            : 0.006035
V89            : 0.002773
V90            : 0.006111
V91            : 0.006280
V92            : 0.002558
V93            : 0.001394
V94            : 0.001385
V95            : 0.005411
V96            : -0.001024
V99            : 0.005660
V100           : -0.005602
V101           : 0.004650
V102           : 0.005934
V103           : -0.001303
V104           : -0.002389
V106           : 0.002904
V107           : -0.003374
V108           : -0.001604
V110           : -0.001617
V111           : -0.002799
V112           : 0.001075
V113           : 0.007061
V114           : 0.005487
V115           : 0.007244
V116           : 0.000365
V117           : 0.005263
V118           : -0.001273
V119           : 0.001919
V120           : 0.005897
V121           : 0.006304
V122           : -0.002757
V124           : -0.001820
V125           : 0.006239
V129           : 0.005896
V130           : 0.005467
V131           : 0.004731
V132           : -0.003190
V133           : -0.002000
V134           : 0.005402
V135           : -0.001549
V136           : 0.005872
V137           : -0.005828
V138           : 0.003850
V139           : 0.001684
V140           : 0.005751
V143           : 0.005937
V146           : 0.001718
V147           : 0.000778
V148           : -0.004019
V151           : -0.001316
V152           : 0.007247
V153           : -0.006447
V154           : 0.005247
V155           : 0.004764
V156           : 0.006103
V157           : -0.002384
V159           : -0.002699
V160           : -0.001645
V161           : -0.001381
V162           : 0.003355
V163           : 0.005368
V165           : 0.003734
V166           : -0.004586
V167           : -0.006787
V168           : 0.005410
V169           : 0.005963
V170           : 0.006026
V172           : 0.005996
V173           : 0.000297
V174           : 0.005158
V175           : -0.000051
V177           : 0.002857
V178           : 0.004288
V179           : -0.005005
V180           : 0.005951
V181           : 0.005872
V182           : -0.005458
V183           : 0.000045
V184           : -0.002578
V185           : 0.004783
V186           : -0.002975
V187           : 0.001566
V188           : 0.005787
V190           : -0.006044
V192           : 0.004033
V194           : 0.005506
V195           : 0.006201
V196           : 0.005789
V197           : -0.003392
V198           : 0.000441
V199           : 0.003913
V201           : 0.006640
V202           : -0.002758
V203           : 0.005347
V204           : 0.006225
V205           : 0.005986
V207           : 0.003970
V208           : 0.005079
V209           : -0.001212
V210           : 0.005265
V211           : 0.006014
V212           : 0.005984
V213           : 0.006055
V214           : 0.006066
V216           : 0.005978
V217           : 0.005990
V218           : 0.005604
V219           : 0.003140
V220           : 0.005957
V221           : -0.004685
V222           : -0.002088
V224           : 0.005979
V225           : -0.004212
V226           : 0.005999
V227           : 0.005636
V228           : 0.005728
V229           : 0.005168
V230           : 0.005960
V231           : -0.000088
V232           : -0.001661
V233           : 0.005747
V234           : 0.001700
V235           : 0.004917
V238           : 0.005467
V240           : 0.008183
V242           : -0.002455
V244           : 0.005858
V249           : 0.004896
V253           : 0.006138
V254           : 0.005794
V255           : 0.000425
V256           : -0.004909
V257           : 0.005881
V259           : 0.004659
V260           : -0.003699
V262           : -0.005239
V263           : -0.001516
V264           : 0.005254
V265           : 0.003806
V267           : 0.006730
V268           : 0.004976
V269           : -0.005225
V273           : -0.000041
V274           : 0.005756
V275           : 0.005925
V276           : 0.005185
V278           : 0.003084
V279           : 0.005693
V280           : 0.005833
V283           : 0.005529
V284           : 0.006061
V285           : 0.001007
V286           : -0.006909
V287           : -0.003521
V289           : -0.004245
V290           : -0.002808
V293           : 0.006116
V294           : 0.005726
V295           : 0.005908
V297           : 0.005161
V298           : 0.000550
V299           : 0.005853
V300           : 0.005884
V301           : 0.003145
V302           : 0.004512
V304           : 0.001598
V305           : 0.002903
V310           : 0.005734
V313           : -0.002041
V314           : 0.004873
V315           : 0.004880
V316           : 0.005758
V317           : -0.001443
V319           : 0.006364
V320           : -0.003023
V322           : -0.004720
V325           : 0.005572
V326           : -0.005077
V327           : 0.006786
V329           : 0.007639
V331           : 0.000856
V334           : 0.005084
V335           : -0.004400
V336           : 0.005137
V337           : 0.005668
V339           : 0.003892
V340           : -0.004791
V341           : 0.005459
V342           : 0.005492
V343           : 0.002149
V344           : -0.001726
V345           : 0.005194
V346           : 0.002038
V348           : 0.005601
V349           : 0.002647
V350           : 0.004562
V353           : 0.005520
V356           : 0.004819
V357           : 0.005403
V358           : 0.003222
V360           : 0.005578
V361           : 0.005872
V362           : 0.001495
V364           : 0.005598
V366           : 0.005521
V367           : 0.005831
V368           : 0.004269
V369           : 0.005725
V370           : -0.003087
V373           : 0.006002
V374           : 0.005785
V375           : 0.004144
V377           : -0.005345
V378           : 0.005264
V379           : 0.004183
V383           : -0.005677
V384           : 0.000766
V385           : 0.006133
V387           : 0.004482
V388           : 0.001800
V389           : 0.000998
V390           : 0.004446
V391           : 0.003415
V392           : 0.004183
V393           : -0.000927
V394           : 0.005769
