sklearn Coefficients
==================================================
Bias Term      : -0.011369
V1             : -0.016490
V2             : -0.019371
V3             : 0.001711
V4             : -0.009499
V5             : 0.053844
V6             : 0.007751
V7             : 0.025601
V8             : 0.002923
V9             : 0.004078
V10            : 0.043563
V11            : 0.059106
V12            : 0.027568
V13            : 0.007222
V14            : 0.074300
V15            : 0.037996
V16            : -0.000146
V17            : -0.010604
V18            : 0.038241
V19            : 0.000977
V20            : -0.024156
V21            : 0.082155
V22            : 0.038560
V23            : -0.013681
V24            : 0.070736
V25            : 0.004837
V26            : -0.010061
V27            : 0.013546
V28            : -0.013653
V29            : 0.010040
V30            : 0.000278
V31            : 0.002256
V32            : -0.039971
V33            : 0.004077
V34            : 0.011352
V36            : 0.019222
V38            : -0.039336
V39            : -0.000623
V40            : 0.011378
V41            : 0.026460
V42            : 0.004469
V43            : 0.057404
V45            : -0.002805
V46            : -0.010216
V47            : -0.018957
V48            : -0.025456
V49            : 0.018431
V50            : 0.006661
V51            : -0.017262
V52            : 0.016309
V55            : -0.005117
V56            : -0.002087
V57            : -0.001775
V58            : 0.006614
V59            : 0.003560
V60            : 0.018041
V61            : 0.051667
V62            : 0.023843
V63            : 0.017828
V64            : 0.026033
V65            : 0.008463
V67            : -0.023308
V68            : 0.000668
V69            : 0.005944
V70            : -0.034430
V71            : 0.008424
V72            : 0.018583
V73            : 0.034052
V74            : -0.041635
V75            : -0.004401
V76            : 0.009535
V77            : 0.015169
V78            : 0.008645
V79            : -0.020067
V80            : -0.063880
V82            : -0.014741
V83            : 0.004992
V84            : -0.007098
V85            : -0.007225
V86            : 0.001751
V87            : 0.020803
V88            : -0.051805
V89            : 0.007700
V90            : 0.029779
V91            : 0.017413
V92            : 0.044985
V93            : -0.004591
V94            : -0.024755
V95            : 0.006400
V96            : -0.004699
V99            : -0.019758
V100           : -0.010872
V101           : -0.009498
V102           : -0.023841
V103           : -0.039041
V104           : 0.010677
V106           : -0.066954
V107           : 0.065716
V108           : 0.018431
V110           : 0.060601
V111           : 0.023134
V112           : 0.016798
V113           : -0.027059
V114           : 0.004066
V115           : -0.084488
V116           : -0.018891
V117           : 0.121813
V118           : -0.024335
V119           : -0.004616
V120           : -0.016340
V121           : 0.009759
V122           : -0.013692
V124           : 0.008944
V125           : 0.005382
V129           : -0.007582
V130           : -0.004122
V131           : 0.057256
V132           : -0.047521
V133           : -0.002311
V134           : -0.002859
V135           : -0.005786
V136           : -0.043585
V137           : 0.020585
V138           : -0.020117
V139           : 0.001463
V140           : 0.010889
V143           : 0.007008
V146           : -0.032950
V147           : -0.003451
V148           : -0.000018
V151           : 0.000464
V152           : -0.054447
V153           : -0.010764
V154           : -0.026820
V155           : 0.009547
V156           : 0.001257
V157           : -0.040179
V159           : -0.057600
V160           : -0.003837
V161           : 0.019704
V162           : -0.020244
V163           : 0.020298
V165           : -0.002359
V166           : -0.018110
V167           : -0.004498
V168           : 0.018395
V169           : 0.013578
V170           : 0.000737
V172           : -0.050988
V173           : 0.015815
V174           : -0.059125
V175           : -0.017412
V177           : -0.059014
V178           : 0.000669
V179           : 0.005172
V180           : -0.001125
V181           : -0.012108
V182           : -0.161589
V183           : 0.030422
V184           : 0.029347
V185           : -0.025661
V186           : -0.004225
V187           : -0.009909
V188           : -0.012517
V190           : -0.011867
V192           : 0.118815
V194           : 0.014646
V195           : 0.001197
V196           : 0.004207
V197           : -0.023724
V198           : -0.026213
V199           : 0.010357
V201           : 0.037502
V202           : -0.029239
V203           : 0.028612
V204           : 0.016930
V205           : -0.042835
V207           : -0.013025
V208           : -0.018142
V209           : -0.004981
V210           : 0.000881
V211           : 0.007488
V212           : 0.021627
V213           : -0.002584
V214           : -0.013785
V216           : 0.019215
V217           : -0.002607
V218           : -0.005980
V219           : -0.003935
V220           : -0.012631
V221           : 0.075062
V222           : 0.004694
V224           : 0.012606
V225           : 0.025181
V226           : 0.004026
V227           : 0.005435
V228           : -0.015331
V229           : 0.007165
V230           : 0.009102
V231           : 0.000468
V232           : 0.013019
V233           : -0.011890
V234           : -0.011435
V235           : -0.020455
V238           : 0.035882
V240           : 0.017964
V242           : -0.001350
